provider,country_code,country,asn,operator,observed_records_bucket,prefix_count,hosting_record_bucket,exit_record_bucket,avg_confidence,data_origin
Proxpn,HK,Hong Kong,133752,LEASEWEB-APAC-HKG-10 LEASEWEB HONG KONG LIMITED,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Proxpn,IS,Iceland,50613,THORDC-AS,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
PureVPN,AU,Australia,133480,INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD,lt-50,1,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
PureVPN,GB,United Kingdom,213790,LIMITEDNETWORK-AS,lt-50,1,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
PureVPN,US,United States,30633,LEASEWEB-USA-WDC,lt-50,1,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
PureVPN,US,United States,393886,LEASEWEB-USA-MIA,lt-50,1,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
RedShield VPN,CA,Canada,62563,AS-GLOBALTELEHOST,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
RedShield VPN,FI,Finland,51765,CREANOVA-AS Oy Creanova Hosting Solutions Ltd.,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
RedShield VPN,TH,Thailand,58955,"BANGMODENTERPRISE-TH Bangmod Enterprise Co., Ltd.",lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
RedShield VPN,TR,Türkiye,207459,AS-TEKNOSOS-INT,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Riseup VPN,US,United States,4224,CALYX-AS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Safervpn,CH,Switzerland,29691,NINE,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,CY,Cyprus,197648,CL8ASN1,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,ES,Spain,39020,COMVIVE-AS Seville - Spain,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,FI,Finland,202053,UPCLOUD,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,FR,France,12876,Online SAS,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,GB,United Kingdom,20860,IOMART-AS,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,HK,Hong Kong,133752,LEASEWEB-APAC-HKG-10 LEASEWEB HONG KONG LIMITED,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,HU,Hungary,210772,NEWPUSH,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,IL,Israel,1680,NV-ASN CELLCOM ltd.,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,NL,Netherlands,51430,ALTUS,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,NL,Netherlands,60404,LITESERVER,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,NO,Norway,34989,SERVETHEWORLD-AS,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,PT,Portugal,204094,I4W,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,RO,Romania,9009,M247,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,TH,Thailand,23884,PROENNET-AS Proen Corp Public Company Limited.,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,US,United States,27257,WEBAIR-INTERNET,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,US,United States,27323,SERVERSTADIUM,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,US,United States,61138,ZAPPIE-HOST-AS Zappie Host,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,ZA,South Africa,37153,xneelo,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Sentinel dVPN,AE,United Arab Emirates,211273,-Reserved AS-,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,AE,United Arab Emirates,216382,LAYER,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,AL,Albania,213900,RS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,AR,Argentina,27879,Informatica y Telecomunicaciones S.A.,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,AT,Austria,40994,"ALWYZON Alwyzon, a trading name of Hohl IT e.U.",lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,AU,Australia,133159,MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,AU,Australia,133480,INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,AU,Australia,142064,VERGETEL1-AS-AP VERGETEL,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,BG,Bulgaria,203380,DAINTERNATIONALGROUP,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,CA,Canada,26832,RICAWEBSERVICES,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,CA,Canada,32613,IWEB-AS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,CA,Canada,401665,HOSTBILBY,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,CA,Canada,62563,AS-GLOBALTELEHOST,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,CL,Chile,270013,J AND J SPA INFOFRACTAL,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,CN,China,198588,TUNGSTEN,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,CN,China,210634,YESONGIT,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,CR,Costa Rica,52423,Data Miners S.A.  Racknation.cr,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,CZ,Czechia,24971,MASTER-AS Czech Republic  www.master.cz,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,CZ,Czechia,8251,NFX_ZSPO,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,DE,Germany,197540,NETCUP-AS netcup GmbH,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,DE,Germany,215859,HETZNER-CLOUD4-AS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,DE,Germany,24961,MYLOC-AS IP Backbone of WIIT AG formerly myLoc managed IT AG,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,DE,Germany,47447,TTM,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,DE,Germany,48314,IP-PROJECTS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,DE,Germany,51202,NUXOA,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
