provider,asn,operator,country_count,country_examples,observed_records_bucket,prefix_count,avg_confidence,data_origin
WLVPN,212238,CDNEXT,1,United Kingdom,lt-50,1,95.0,VPN-Infrastructure-Atlas
Astrill,3462,HINET Data Communication Business Group,1,Taiwan,lt-50,13,78.0,VPN-Infrastructure-Atlas
Astrill,63023,AS-GLOBALTELEHOST,1,United States,lt-50,7,78.1,VPN-Infrastructure-Atlas
Privado,34305,BASEIP,1,Netherlands,lt-50,4,95.0,VPN-Infrastructure-Atlas
VPN Unlimited,136258,"ONEPROVIDER-AS BrainStorm Network, Inc",1,Canada,lt-50,11,70.0,VPN-Infrastructure-Atlas
Anonine,63023,AS-GLOBALTELEHOST,1,United States,lt-50,3,95.0,VPN-Infrastructure-Atlas
Astrill,9009,M247,1,Romania,lt-50,10,78.0,VPN-Infrastructure-Atlas
BoxPN,63023,AS-GLOBALTELEHOST,1,United States,lt-50,3,95.0,VPN-Infrastructure-Atlas
EasyHideIP,63023,AS-GLOBALTELEHOST,1,United States,lt-50,3,95.0,VPN-Infrastructure-Atlas
ExpressVPN,13213,UK2NET-AS,1,United Kingdom,lt-50,1,70.0,VPN-Infrastructure-Atlas
FrootVPN,63023,AS-GLOBALTELEHOST,1,United States,lt-50,3,95.0,VPN-Infrastructure-Atlas
ProtonVPN,136557,HOST-AS-AP Host Universal Pty Ltd,1,Australia,lt-50,12,95.0,VPN-Infrastructure-Atlas
Windscribe,137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,1,Australia,lt-50,8,95.0,VPN-Infrastructure-Atlas
CyberGhost,206804,ESTNOC-GLOBAL,1,Estonia,lt-50,2,71.9,VPN-Infrastructure-Atlas
IPVanish,25369,BANDWIDTH-AS,1,United Kingdom,lt-50,2,95.0,VPN-Infrastructure-Atlas
Vpnht,0,,4,Germany; Romania; Russia; Singapore,lt-50,4,78.0,VPN-Infrastructure-Atlas
WLVPN,25369,BANDWIDTH-AS,1,United Kingdom,lt-50,2,95.0,VPN-Infrastructure-Atlas
