provider,country,observed_records_bucket,prefix_count,asn_count,hosting_record_bucket,avg_confidence,data_origin
FreeVPN,Finland,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
FreeVPN,United Kingdom,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
FreeVPN,Luxembourg,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
FreeVPN,Sweden,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
FreeVPN,Singapore,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
Freevpn,Netherlands,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Froot,France,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Froot,Panama,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Getflix,Australia,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Getflix,Canada,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Getflix,Denmark,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Getflix,Greece,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Getflix,Netherlands,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Getflix,Norway,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Getflix,Panama,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Getflix,Sweden,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
GhostPath,Austria,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Brazil,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Switzerland,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Chile,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Denmark,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Estonia,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Hong Kong,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Hungary,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Indonesia,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Ireland,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Israel,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Iceland,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Japan,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Luxembourg,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Moldova,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Malaysia,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Norway,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Panama,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Poland,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Portugal,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Romania,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Serbia,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Slovenia,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Thailand,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Türkiye,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Ukraine,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
Goosevpn,United Kingdom,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Hide.me,Switzerland,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Hide.me,Poland,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Hide.me,United States,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
HideIPVPN,Spain,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
HideIPVPN,Lithuania,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
HideIPVPN,Russia,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
Hotspotshield,Bangladesh,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Hotspotshield,Brazil,lt-50,1,0,lt-50,78.0,VPN-Infrastructure-Atlas
Hotspotshield,China,lt-50,1,0,lt-50,78.0,VPN-Infrastructure-Atlas
Hotspotshield,Germany,lt-50,1,0,lt-50,78.0,VPN-Infrastructure-Atlas
Hotspotshield,France,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Hotspotshield,Lithuania,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Hotspotshield,Marshall Islands,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Hotspotshield,Panama,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Hotspotshield,Singapore,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Hotspotshield,Taiwan,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Hotspotshield,Ukraine,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Hotspotshield,South Africa,lt-50,1,0,lt-50,78.0,VPN-Infrastructure-Atlas
IVPN,Brazil,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
IVPN,Luxembourg,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Integrityvpn,Sweden,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Ivacy,Afghanistan,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Albania,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Austria,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Belgium,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Bulgaria,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Brunei,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Brazil,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Switzerland,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Chile,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Denmark,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Egypt,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Spain,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Finland,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,France,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Greece,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Hungary,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Ireland,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Lithuania,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Latvia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Moldova,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Nigeria,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Netherlands,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Norway,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Oman,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Panama,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Philippines,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Poland,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Portugal,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Serbia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Russia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Sweden,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Singapore,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Slovakia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Türkiye,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Taiwan,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Ukraine,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Vietnam,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
KevinVPN,Canada,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
KevinVPN,Switzerland,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
KevinVPN,Italy,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
KevinVPN,Luxembourg,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
KevinVPN,Romania,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
KevinVPN,Sweden,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
KevinVPN,Singapore,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
KevinVPN,Türkiye,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
KeyDrop,Germany,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
Kompot VPN,Argentina,lt-50,1,1,lt-50,80.0,VPN-Infrastructure-Atlas
Le VPN,Spain,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
Le VPN,United Kingdom,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
Le VPN,Hong Kong,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
Le VPN,Iceland,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
Le VPN,Sweden,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
Le VPN,United States,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
NetShade,Germany,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OVPN,Canada,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OVPN,Italy,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Antigua & Barbuda,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Australia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Bulgaria,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Brazil,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Switzerland,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Cyprus,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Czechia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Germany,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,FL,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,France,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,United Kingdom,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Hong Kong,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Italy,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Japan,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,South Korea,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Malaysia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Namibia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Philippines,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Pakistan,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Poland,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Portugal,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Russia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Saudi Arabia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Sweden,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Singapore,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Thailand,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Türkiye,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Taiwan,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Ukraine,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,United Kingdom,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PhantomPeer,Switzerland,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
PhantomPeer,Romania,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
PhantomPeer,Sweden,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
Privado,Romania,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Private Internet Access,India,lt-50,1,0,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,United Arab Emirates,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Argentina,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Austria,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Belgium,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Bulgaria,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Brazil,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Chile,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Costa Rica,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Czechia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Estonia,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
PrivateVPN,Finland,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
PrivateVPN,Greece,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Hong Kong,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Croatia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Hungary,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Indonesia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Ireland,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Israel,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
PrivateVPN,Isle of Man,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Iceland,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,South Korea,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Lithuania,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Luxembourg,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
PrivateVPN,Latvia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Moldova,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Malta,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Mexico,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Malaysia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,New Zealand,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Panama,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Peru,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Philippines,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Portugal,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Romania,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Serbia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Singapore,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Slovakia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Thailand,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Türkiye,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Taiwan,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Ukraine,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Vietnam,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,Bosnia and Herzegovina,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,Canada,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,Cyprus,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,European Union,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,Finland,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,Croatia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,Indonesia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,India,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,Lithuania,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,Moldova,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,North Macedonia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,Palestine,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,Seychelles,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,Sweden,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,Taiwan,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Proxpn,Switzerland,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Proxpn,Costa Rica,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Proxpn,Hong Kong,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Proxpn,Iceland,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
RedShield VPN,Canada,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
RedShield VPN,Finland,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
RedShield VPN,Thailand,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
RedShield VPN,Türkiye,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Safervpn,Switzerland,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,Cyprus,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,Spain,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,Finland,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,France,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,United Kingdom,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,Hong Kong,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,Hungary,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,Israel,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,Norway,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,Portugal,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,Romania,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,Thailand,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,South Africa,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Albania,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Austria,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Bulgaria,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Chile,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Costa Rica,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Denmark,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Spain,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Israel,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Jamaica,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Jordan,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,New Zealand,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Seychelles,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Thailand,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
SlickVPN,Austria,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
SlickVPN,Singapore,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
SmartVPN,Switzerland,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
SmartVPN,Spain,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
SmartVPN,France,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
SmartVPN,Israel,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
SmartVPN,Sweden,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
SmartVPN,Slovenia,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
Smartdnsproxy,Austria,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Smartdnsproxy,Canada,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Smartdnsproxy,Denmark,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Smartdnsproxy,Greece,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Smartdnsproxy,Italy,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Smartdnsproxy,Norway,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Smartdnsproxy,Panama,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Smartdnsproxy,Sweden,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Smartdnsproxy,Türkiye,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
SotaVPN,Latvia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
SotaVPN,Netherlands,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
StrongVPN,Finland,lt-50,1,1,lt-50,80.0,VPN-Infrastructure-Atlas
Surfshark,Austria,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Sri Lanka,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Romania,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
SwitchVPN,Austria,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
SwitchVPN,Belgium,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
SwitchVPN,Switzerland,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
SwitchVPN,Czechia,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
SwitchVPN,France,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
SwitchVPN,India,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
SwitchVPN,South Korea,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
SwitchVPN,Malaysia,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
SwitchVPN,Norway,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
SwitchVPN,Singapore,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
Trust.Zone,Albania,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
Trust.Zone,Australia,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
Trust.Zone,Israel,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
Trust.Zone,Poland,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
Trust.Zone,Seychelles,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
Trust.Zone,Türkiye,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
TunnelBear,Canada,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
TunnelBear,Italy,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
VPN Gate,European Union,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
VPN Gate,Laos,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
VPN Gate,Romania,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
VPN Gate,Ukraine,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
VPN Gate,Vietnam,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
VPN Jantit,Bulgaria,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
VPN Jantit,Moldova,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
VPN Jantit,Romania,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
VPN Jantit,Türkiye,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
VPN Unlimited,Ukraine,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
VPN Unlimited,South Africa,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
VPN.ac,Italy,lt-50,1,0,lt-50,95.0,VPN-Infrastructure-Atlas
VPN.ac,Lithuania,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
VPN.ac,Norway,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
