provider,country,observed_records_bucket,prefix_count,asn_count,hosting_record_bucket,avg_confidence,data_origin
VPN.ac,United States,lt-50,16,8,lt-50,95.0,VPN-Infrastructure-Atlas
VPNSecure,France,lt-50,21,2,lt-50,88.0,VPN-Infrastructure-Atlas
ExpressVPN,United States,lt-50,12,4,lt-50,70.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Singapore,lt-50,21,7,lt-50,95.0,VPN-Infrastructure-Atlas
Vpnht,Germany,lt-50,3,2,lt-50,78.0,VPN-Infrastructure-Atlas
WiTopia,Canada,lt-50,5,2,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,Estonia,lt-50,7,1,lt-50,95.0,VPN-Infrastructure-Atlas
ExpressVPN,Brazil,lt-50,5,1,lt-50,70.0,VPN-Infrastructure-Atlas
PureVPN,United States,lt-50,16,6,lt-50,88.0,VPN-Infrastructure-Atlas
ProtonVPN,Australia,lt-50,13,2,lt-50,95.0,VPN-Infrastructure-Atlas
VPN Gate,South Korea,lt-50,28,9,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,Netherlands,lt-50,8,5,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,Romania,lt-50,10,1,lt-50,78.0,VPN-Infrastructure-Atlas
EasyHideIP,United Kingdom,lt-50,4,2,lt-50,95.0,VPN-Infrastructure-Atlas
Astrill,India,lt-50,12,4,lt-50,78.0,VPN-Infrastructure-Atlas
CyberGhost,Estonia,lt-50,2,1,lt-50,71.9,VPN-Infrastructure-Atlas
PrivateVPN,Sweden,lt-50,7,5,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Hong Kong,lt-50,25,9,lt-50,95.0,VPN-Infrastructure-Atlas
VPN Jantit,United Kingdom,lt-50,23,6,lt-50,88.0,VPN-Infrastructure-Atlas
VPN Unlimited,France,lt-50,19,2,lt-50,70.0,VPN-Infrastructure-Atlas
Mullvad,Vanuatu,lt-50,7,2,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Italy,lt-50,16,5,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,Türkiye,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
